name,league,age,minutes,goals,assists
Fabien Centonze,fr Ligue 1,28.0,265,0,0
Alberto Cerri,it Serie A,28.0,87,0,0
Franco Cervi,es La Liga,30.0,273,0,0
Julian Chabot,de Bundesliga,26.0,2269,3,1
El Chadaille Bitshiabu,de Bundesliga,19.0,1130,0,0
Fares Chaïbi,de Bundesliga,21.0,1013,1,3
Trevoh Chalobah,eng Premier League,25.0,1060,3,0
Trevoh Chalobah,eng Premier League,25.0,910,0,1
Timothy Chandler,de Bundesliga,34.0,24,0,0
Conor Chaplin,eng Premier League,27.0,857,1,1
Brendan Chardonnet,fr Ligue 1,29.0,2416,1,0
Gabriel Charpentier,it Serie A,25.0,271,1,2
Raúl Chasco,es La Liga,20.0,130,0,0
Anrie Chase,de Bundesliga,20.0,734,0,0
Pep Chavarría,es La Liga,26.0,2585,0,1
Arthur Chaves,de Bundesliga,23.0,2185,1,0
Jhoanner Chávez,fr Ligue 1,22.0,596,1,0
Walid Cheddira,it Serie A,26.0,12,0,0
Walid Cheddira,es La Liga,26.0,640,1,1
Chema,es La Liga,19.0,12,0,0
Théo Chennahi,fr Ligue 1,19.0,181,0,0
Sidiki Cherif,fr Ligue 1,17.0,324,0,0
Rayan Cherki,fr Ligue 1,20.0,2041,8,11
Youssef Chermiti,eng Premier League,20.0,45,0,0
Lucas Chevalier,fr Ligue 1,22.0,3060,0,0
Fabio Chiarodia,de Bundesliga,19.0,379,1,0
Julián Chicco,es La Liga,26.0,302,0,1
Leandro Chichizola,it Serie A,34.0,90,0,0
Federico Chiesa,eng Premier League,26.0,108,0,0
Ben Chilwell,eng Premier League,27.0,259,1,0
Chiquinho,eng Premier League,24.0,7,0,0
Chiquinho,es La Liga,24.0,146,0,0
Pedro Chirivella,fr Ligue 1,27.0,2348,0,2
Joris Chotard,fr Ligue 1,22.0,1892,1,0
Hamza Choudhury,eng Premier League,26.0,131,0,0
Andreas Christensen,es La Liga,28.0,254,0,0
Ryan Christie,eng Premier League,29.0,2117,2,3
Carney Chukwuemeka,de Bundesliga,20.0,253,1,0
Samuel Chukwueze,it Serie A,25.0,925,3,2
Aaron Ciammaglichella,it Serie A,19.0,1,0,0
Jasper Cillessen,es La Liga,35.0,2335,0,0
Giuseppe Ciocci,it Serie A,22.0,9,0,0
Alessandro Circati,it Serie A,20.0,540,0,0
Pathé Ciss,es La Liga,30.0,2140,4,1
Alphadjo Cissè,it Serie A,17.0,9,0,0
Djaoui Cissé,fr Ligue 1,20.0,1121,1,0
Seydouba Cissé,es La Liga,23.0,2435,3,1
Yoann Cissé,fr Ligue 1,19.0,5,0,0
Patrick Ciurria,it Serie A,29.0,1111,1,1
Harry Clarke,eng Premier League,23.0,379,0,0
Jack Clarke,eng Premier League,23.0,1181,0,4
Alexis Claude-Maurice,de Bundesliga,26.0,2109,9,2
Jonathan Clauss,fr Ligue 1,31.0,2303,3,8
Silvi Clúa,es La Liga,19.0,163,0,0
Nathaniel Clyne,eng Premier League,33.0,483,0,0
Conor Coady,eng Premier League,31.0,1714,1,0
Marcus Coco,fr Ligue 1,28.0,951,0,1
Saúl Coco,it Serie A,25.0,2845,2,0
Séamus Coleman,eng Premier League,35.0,215,0,0
Nathan Collins,eng Premier League,23.0,3420,2,3
Nnamdi Collins,de Bundesliga,20.0,1489,1,1
Toby Collyer,eng Premier League,20.0,179,0,0
Lorenzo Colombo,it Serie A,22.0,2233,6,2
Andrea Colpani,it Serie A,25.0,1432,2,1
Levi Colwill,eng Premier League,21.0,3149,2,1
Florinel Coman,it Serie A,26.0,263,1,0
Kingsley Coman,de Bundesliga,28.0,1282,5,4
Eray Cömert,es La Liga,26.0,1779,0,0
Santi Comesaña,es La Liga,27.0,2560,4,2
Pietro Comuzzo,it Serie A,19.0,2110,1,0
Francisco Conceição,it Serie A,21.0,1340,3,3
Diego Conde,es La Liga,25.0,1962,0,1
Tomás Conechny,es La Liga,26.0,847,1,0
Alois Confais,fr Ligue 1,27.0,3,0,0
Sirlord Conteh,de Bundesliga,28.0,892,1,1
Lewis Cook,eng Premier League,27.0,2978,1,3
Copete,es La Liga,24.0,1528,0,0
Diego Coppola,it Serie A,20.0,2927,2,0
Francis Coquelin,fr Ligue 1,33.0,224,1,1
Iker Córdoba,es La Liga,18.0,15,0,0
Derek Cornelius,fr Ligue 1,26.0,1420,0,0
Maxwel Cornet,eng Premier League,27.0,72,0,0
Maxwel Cornet,it Serie A,27.0,246,2,1
Pierre Cornud,fr Ligue 1,27.0,576,0,0
Ángel Correa,es La Liga,29.0,805,4,1
Joaquín Correa,it Serie A,29.0,731,2,2
Thierry Correia,es La Liga,25.0,768,0,0
Alberto costa,it Serie A,20.0,357,0,1
Coba da Costa,es La Liga,22.0,1006,1,1
Danny da Costa,de Bundesliga,31.0,2006,0,1
David Costa,fr Ligue 1,23.0,352,0,0
Logan Costa,es La Liga,23.0,2587,2,1
Logan Costa,fr Ligue 1,23.0,90,0,0
Samu Costa,es La Liga,23.0,2649,0,2
Grégoire Coudert,fr Ligue 1,25.0,180,0,0
Vladimír Coufal,eng Premier League,31.0,1067,0,0
Lassana Coulibaly,it Serie A,28.0,2667,1,0
Lasso Coulibaly,fr Ligue 1,21.0,45,1,0
Mamadou Coulibaly,fr Ligue 1,20.0,8,0,0
Soumaïla Coulibaly,fr Ligue 1,20.0,438,0,0
Tanguy Coulibaly,fr Ligue 1,23.0,1485,3,0
Woyo Coulibaly,eng Premier League,25.0,109,0,0
Woyo Coulibaly,it Serie A,25.0,1084,0,1
Marius Courcoul,fr Ligue 1,17.0,309,0,0
Thibaut Courtois,es La Liga,32.0,2700,0,0
Yan Couto,de Bundesliga,22.0,895,0,0
Nicolas Cozza,fr Ligue 1,25.0,2051,1,0
Aaron Cresswell,eng Premier League,34.0,824,0,0
Charlie Cresswell,fr Ligue 1,21.0,2592,3,1
Bryan Cristante,it Serie A,29.0,2045,4,2
Domen Črnigoj,it Serie A,28.0,136,0,0
Juan Cruz Armada,es La Liga,32.0,1492,0,0
Juan Cruz,es La Liga,24.0,2257,5,4
Juan Cuadrado,it Serie A,36.0,832,0,2
Pau Cubarsí,es La Liga,17.0,2618,0,3
Cucho,es La Liga,25.0,1139,5,1
Marc Cucurella,eng Premier League,26.0,2988,5,1
Jorge Cuenca,eng Premier League,24.0,351,0,0
Matheus Cunha,eng Premier League,25.0,2597,15,6
Patrick Cutrone,it Serie A,26.0,2047,7,4
Tomáš Čvančara,de Bundesliga,23.0,831,2,0
Wylan Cyprien,it Serie A,29.0,28,0,0
Danilo D'Ambrosio,it Serie A,35.0,1095,0,1
Lucas Da Cunha,it Serie A,23.0,2613,3,2
Samuel Dahl,it Serie A,24.0,43,0,0
Finn Dahmen,de Bundesliga,26.0,1710,0,0
Thomas Dähne,de Bundesliga,30.0,810,0,0
Mahmoud Dahoud,de Bundesliga,28.0,364,1,1
Patson Daka,eng Premier League,25.0,736,1,0
Ameen Al-Dakhil,de Bundesliga,22.0,432,0,0
Thijs Dallinga,it Serie A,23.0,1154,3,2
Diogo Dalot,eng Premier League,25.0,2814,0,3
Mikkel Damsgaard,eng Premier League,24.0,2911,2,10
Maat Daniel Caprini,it Serie A,18.0,7,0,0
Flavius Daniliuc,it Serie A,23.0,1004,0,0
Danilo,eng Premier League,23.0,275,0,0
Danilo,it Serie A,33.0,581,0,1
Arnaut Danjuma,es La Liga,27.0,200,2,0
Arnaut Danjuma,es La Liga,27.0,1335,2,0
Jayden Danns,eng Premier League,18.0,11,0,0
Kévin Danois,fr Ligue 1,20.0,1460,0,0
Kevin Danso,eng Premier League,25.0,842,0,0
Kevin Danso,fr Ligue 1,25.0,1080,0,0
Dante,fr Ligue 1,40.0,1964,0,0
Pape Daouda Diongue,fr Ligue 1,,78,1,0
Mohamed Daramy,fr Ligue 1,22.0,16,0,0
Bence Dárdai,de Bundesliga,18.0,1304,1,1
Sergi Darder,es La Liga,30.0,2744,2,6
Matteo Darmian,it Serie A,34.0,1781,3,2
Lukas Daschner,de Bundesliga,25.0,412,1,1
Juan David Cabal,it Serie A,23.0,460,0,0
Jonathan David,fr Ligue 1,24.0,2554,16,5
Alphonso Davies,de Bundesliga,23.0,1560,1,2
Ben Davies,eng Premier League,31.0,1331,0,0
Keinan Davis,it Serie A,26.0,1066,2,1
Leif Davis,eng Premier League,24.0,2743,1,2
Zuriko Davitashvili,fr Ligue 1,23.0,2778,9,8
Paweł Dawidowicz,it Serie A,29.0,1845,0,0
Craig Dawson,eng Premier League,34.0,971,0,0
Kevin De Bruyne,eng Premier League,33.0,1702,4,7
Bobby De Cordova-Reid,eng Premier League,31.0,744,1,2
Charles De Ketelaere,it Serie A,23.0,2070,7,7
Rodrigo De Paul,es La Liga,30.0,2106,3,5
Théo De Percin,fr Ligue 1,23.0,180,0,0
Mattia De Sciglio,it Serie A,31.0,769,1,0
Lorenzo De Silvestri,it Serie A,36.0,1060,1,0
Thibault De Smet,fr Ligue 1,26.0,192,0,0
Koni De Winter,it Serie A,22.0,2135,3,0
Amar Dedić,fr Ligue 1,21.0,314,0,1
Alessandro Deiola,it Serie A,28.0,1432,2,1
Romain Del Castillo,fr Ligue 1,28.0,1259,6,4
Enrico Del Prato,it Serie A,24.0,2947,4,0
Thomas Delaine,fr Ligue 1,32.0,9,0,0
Liam Delap,eng Premier League,21.0,2593,12,2
Fisayo Dele-Bashiru,it Serie A,23.0,947,3,1
Andy Delort,fr Ligue 1,32.0,607,0,0
Olivier Deman,de Bundesliga,24.0,67,0,0
Ali Dembélé,it Serie A,20.0,388,1,0
Ousmane Dembélé,fr Ligue 1,27.0,1730,21,6
Ermedin Demirović,de Bundesliga,26.0,1855,15,1
Sepp van den Berg,eng Premier League,22.0,2586,0,0
Rémy Descamps,fr Ligue 1,28.0,90,0,0
Arthur Desmas,fr Ligue 1,30.0,1620,0,0
Justin Devenny,eng Premier League,20.0,507,1,1
Kiernan Dewsbury-Hall,eng Premier League,25.0,264,0,1
Michele Di Gregorio,it Serie A,27.0,2970,0,0
Giovanni Di Lorenzo,it Serie A,30.0,3330,3,2
Boulaye Dia,it Serie A,27.0,2177,9,3
Mouctar Diakhaby,es La Liga,27.0,653,2,0
Mamadou Diakhon,fr Ligue 1,18.0,858,2,1
Bafodé Diakité,fr Ligue 1,23.0,2766,4,1
Oumar Diakité,fr Ligue 1,20.0,1628,4,1
Amad Diallo,eng Premier League,22.0,1901,8,6
Assane Diao,it Serie A,18.0,1252,8,1
Assane Diao,es La Liga,18.0,277,1,2
Habib Diarra,fr Ligue 1,20.0,2352,4,5
Moussa Diarra,es La Liga,23.0,1866,0,0
Rúben Dias,eng Premier League,27.0,2271,0,0
Krépin Diatta,fr Ligue 1,25.0,508,0,0
Kandet Diawara,fr Ligue 1,24.0,4,0,0
Mahamadou Diawara,fr Ligue 1,19.0,582,0,1
Mahamadou Diawara,fr Ligue 1,19.0,16,0,0
Brahim Díaz,es La Liga,24.0,1385,4,2
Daniel Díaz,es La Liga,18.0,10,0,0
Luis Díaz,eng Premier League,27.0,2399,13,5
Pedro Díaz,es La Liga,26.0,1211,3,0
Tyler Dibling,eng Premier League,18.0,1874,2,0
Diego,es La Liga,24.0,1195,3,0
Justin Diehl,de Bundesliga,19.0,104,1,0
Bamba Dieng,fr Ligue 1,24.0,532,3,0
Eric Dier,de Bundesliga,30.0,1463,2,1
Lucas Digne,eng Premier League,31.0,2351,0,4
Kembo Diliwidi,fr Ligue 1,18.0,4,0,0
Federico Dimarco,it Serie A,26.0,2140,4,7
Stole Dimitrievski,es La Liga,30.0,360,0,0
Junior Dina Ebimbe,de Bundesliga,23.0,293,0,1
Eren Dinkçi,de Bundesliga,22.0,1196,0,3
Sinaly Diomande,fr Ligue 1,23.0,1945,3,2
Yan Diomandé,es La Liga,17.0,545,2,1
Lois Diony,fr Ligue 1,31.0,21,0,0
Issa Diop,eng Premier League,27.0,1339,0,0
Sérigné Diop,fr Ligue 1,19.0,4,0,0
Sofiane Diop,fr Ligue 1,24.0,1064,6,4
Andy Diouf,fr Ligue 1,21.0,2225,1,2
Yehvann Diouf,fr Ligue 1,24.0,3060,0,0
Assane Dioussé,fr Ligue 1,26.0,663,0,0
Axel Disasi,eng Premier League,26.0,490,0,0
Axel Disasi,eng Premier League,26.0,364,1,0
Roman Dixon,eng Premier League,19.0,90,0,0
Álvaro djaló,es La Liga,24.0,659,1,0
Djené,es La Liga,32.0,2548,0,0
Nasser Djiga,eng Premier League,21.0,66,0,0
Berat Djimsiti,it Serie A,31.0,2640,1,2
Marko Dmitrović,es La Liga,32.0,2880,0,0
Ritsu Doan,de Bundesliga,26.0,2862,10,7
Dodô,it Serie A,25.0,3025,0,4
Danilho Doekhi,de Bundesliga,26.0,3060,1,1
Matt Doherty,eng Premier League,32.0,2109,2,1
Jeremy Doku,eng Premier League,22.0,1516,3,6
Marc Domenech,es La Liga,18.0,303,0,0
Álex Domínguez,fr Ligue 1,26.0,19,0,0
Benjamín Domínguez,it Serie A,20.0,1281,3,2
Carlos Dominguez,es La Liga,23.0,1181,0,0
Israel Domínguez,es La Liga,21.0,18,0,0
Nicolás Domínguez,eng Premier League,26.0,1963,0,1
Sergi Dominguez,es La Liga,19.0,172,0,0
Gianluigi Donnarumma,fr Ligue 1,25.0,2091,0,0
Patrick Dorgu,eng Premier League,19.0,842,0,0
Patrick Dorgu,it Serie A,19.0,1840,3,1
Alfie Dorrington,eng Premier League,19.0,14,0,0
Niklas Dorsch,de Bundesliga,26.0,32,0,0
Niklas Dorsch,de Bundesliga,26.0,1335,2,2
Alberto Dossena,it Serie A,25.0,1825,0,2
Abdoulaye Doucouré,eng Premier League,31.0,2564,3,2
Cheick Doucouré,eng Premier League,24.0,452,0,0
Sékou Doucoure,fr Ligue 1,19.0,12,0,0
Désiré Doué,fr Ligue 1,19.0,1730,6,6
Guela Doué,fr Ligue 1,21.0,2717,1,2
Douglas,fr Ligue 1,27.0,2307,4,2
Ismaël Doukouré,fr Ligue 1,21.0,2639,1,1
Issa Doumbia,it Serie A,20.0,939,0,0
Kamory Doumbia,fr Ligue 1,21.0,1322,3,2
Amidou Doumbouya,fr Ligue 1,16.0,46,0,0
Anastasios Douvikas,it Serie A,24.0,580,2,2
Anastasios Douvikas,es La Liga,24.0,700,3,1
Artem Dovbyk,it Serie A,27.0,2418,12,2
Flynn Downes,eng Premier League,25.0,2151,1,0
Tommy Doyle,eng Premier League,22.0,488,0,1
Radu Drăgușin,eng Premier League,22.0,1252,0,0
Patrick Drewes,de Bundesliga,31.0,1890,0,0
Tim Drexler,de Bundesliga,19.0,357,0,0
Domingos Duarte,es La Liga,29.0,1859,1,0
Martin Dúbravka,eng Premier League,35.0,900,0,0
Marvin Ducksch,de Bundesliga,30.0,2418,8,8
Ondrej Duda,it Serie A,29.0,2395,1,3
Duk,es La Liga,24.0,179,0,0
Denzel Dumfries,it Serie A,28.0,1865,7,2
Alfred Duncan,it Serie A,31.0,957,0,0
Lewis Dunk,eng Premier League,32.0,2083,0,0
Jáder Durán,eng Premier League,20.0,638,7,0
Pablo Durán,es La Liga,23.0,1394,4,4
Julien Duranville,de Bundesliga,18.0,283,0,0
Hugo Duro,es La Liga,24.0,2166,11,2
Jean-Kevin Duverne,fr Ligue 1,27.0,537,0,0
Paulo Dybala,it Serie A,30.0,1417,6,3
Stefan Džodić,fr Ligue 1,19.0,242,0,0
Adam Dźwigała,de Bundesliga,28.0,373,0,0
Aron Dønnum,fr Ligue 1,26.0,2689,2,2
Enzo Ebosse,it Serie A,25.0,90,0,0
Tyronne Ebuehi,it Serie A,28.0,74,0,0
Claudio Echeverri,eng Premier League,18.0,6,0,0
Ederson,eng Premier League,30.0,2320,0,4
Éderson,it Serie A,25.0,2881,4,1
Noah Edjouma,fr Ligue 1,18.0,171,2,0
George Edmundson,eng Premier League,26.0,2,0,0
Odsonne Édouard,eng Premier League,26.0,115,0,0
Odsonne Édouard,eng Premier League,26.0,29,0,0
Samuel Edozie,eng Premier League,21.0,65,0,0
Ronnie Edwards,eng Premier League,21.0,12,0,0
Johannes Eggestein,de Bundesliga,26.0,1853,3,4
Maximilian Eggestein,de Bundesliga,27.0,2845,2,0
Kingsley Ehizibue,it Serie A,29.0,2498,0,1
Chidera Ejuke,es La Liga,26.0,966,2,1
Jeff Ekhator,it Serie A,17.0,769,1,1
Hugo Ekitike,de Bundesliga,22.0,2563,15,8
Jurgen Ekkelenkamp,it Serie A,24.0,1892,3,2
Jacques Ekomie,fr Ligue 1,20.0,697,0,0
Emmanuel Ekong,it Serie A,22.0,186,0,0
Caleb Ekuban,it Serie A,30.0,555,1,3
Pierre Ekwah Elimby,fr Ligue 1,22.0,2575,1,0
Anthony Elanga,eng Premier League,22.0,2501,6,11
Meschak Elia,fr Ligue 1,26.0,170,1,0
Mikael Ellertsson,it Serie A,22.0,2470,2,2
Harvey Elliott,eng Premier League,21.0,371,1,2
Elif Elmas,it Serie A,24.0,1021,4,0
Elif Elmas,de Bundesliga,24.0,44,0,0
Aritz Elustondo,es La Liga,30.0,1457,0,0
Nico Elvedi,de Bundesliga,27.0,2135,1,1
Adri Embarba,es La Liga,32.0,1607,1,1
Breel Embolo,fr Ligue 1,27.0,1841,6,4
Emanuel Emegha,fr Ligue 1,21.0,2293,14,3
Emerson,it Serie A,25.0,1377,0,0
Yunus Emre Konak,eng Premier League,18.0,42,0,0
Julio Enciso,eng Premier League,20.0,869,2,3
Julio Enciso,eng Premier League,20.0,294,0,0
Wataru Endo,eng Premier League,31.0,273,0,0
Endrick,es La Liga,18.0,363,1,0
Yannik Engelhardt,it Serie A,23.0,1164,1,1
Arne Engels,de Bundesliga,20.0,79,0,0
Christian Eriksen,eng Premier League,32.0,1061,1,2
Martin Erlic,it Serie A,26.0,334,0,0
Patrick Erras,de Bundesliga,29.0,832,1,0
Alfonso Espino,es La Liga,32.0,833,0,1
Sebastiano Esposito,it Serie A,22.0,2331,8,0
Romain Esse,eng Premier League,19.0,138,1,1
Samuel Essende,de Bundesliga,26.0,1636,7,2
Dario Essugo,es La Liga,19.0,1938,1,0
Estanis,it Serie A,20.0,9,0,0
Nahuel Estévez,it Serie A,28.0,657,0,0
Pervis Estupiñán,eng Premier League,26.0,2402,1,1
Etienne Eto'o,es La Liga,21.0,40,0,0
Karl Etta,es La Liga,20.0,37,1,0
Evanilson,eng Premier League,24.0,2319,10,1
Jake Evans,eng Premier League,,24,0,0
Jonny Evans,eng Premier League,36.0,315,0,0
Edu Expósito,es La Liga,27.0,1045,0,2
Eberechi Eze,eng Premier League,26.0,2588,8,8
Abde Ezzalzouli,es La Liga,22.0,1984,2,2
Giovanni Fabbian,it Serie A,21.0,1023,3,1
Łukasz Fabiański,eng Premier League,39.0,1160,0,0
Alieu Fadera,it Serie A,22.0,1644,1,3
Wout Faes,eng Premier League,26.0,2815,1,0
Nicolò Fagioli,it Serie A,23.0,962,1,2
Nicolò Fagioli,it Serie A,23.0,571,0,0
Romain Faivre,fr Ligue 1,26.0,899,3,2
Wladimiro Falcone,it Serie A,29.0,3420,0,0
Davide Faraoni,it Serie A,32.0,260,0,0
Abdul Fatawu Issahaku,eng Premier League,20.0,579,0,2
Ansu Fati,es La Liga,21.0,233,0,0
Khalil Fayad,fr Ligue 1,20.0,1028,0,0
Jacopo Fazzini,it Serie A,21.0,1383,4,1
Nabil Fekir,es La Liga,31.0,180,0,1
Mattia Felici,it Serie A,23.0,925,0,3
Luiz Felipe,fr Ligue 1,27.0,122,0,0
João Félix,eng Premier League,24.0,369,1,1
João Félix,it Serie A,24.0,760,2,0
Frank Feller,de Bundesliga,20.0,121,0,0
Kiko Femenía,es La Liga,33.0,2227,0,1
Evan Ferguson,eng Premier League,19.0,156,0,0
Evan Ferguson,eng Premier League,19.0,246,1,0
Lewis Ferguson,it Serie A,24.0,983,1,1
Zinedine Ferhat,fr Ligue 1,31.0,849,2,0
Bruno Fernandes,eng Premier League,29.0,3018,8,10
Edimilson Fernandes,fr Ligue 1,28.0,1105,0,1
Mateus Fernandes,eng Premier League,20.0,2909,2,4
Aitor Fernández,es La Liga,33.0,90,0,0
Álvaro Fernández,es La Liga,26.0,747,0,0
Enzo Fernández,eng Premier League,23.0,2947,6,7
Pelayo Fernandez,es La Liga,21.0,98,0,0
Roberto Férnandez,es La Liga,22.0,1497,6,0
Valery Fernández,es La Liga,24.0,309,2,0
Matias Fernandez-Pardo,fr Ligue 1,19.0,1065,4,2
André Ferreira,es La Liga,28.0,540,0,0
Jordan Ferri,fr Ligue 1,32.0,1773,0,2
Daniel Fila,it Serie A,21.0,492,2,0
Karol Fila,fr Ligue 1,26.0,5,0,0
Kilian Fischer,de Bundesliga,23.0,2297,1,0
Mark Flekken,eng Premier League,31.0,3275,0,2
Alessandro Florenzi,it Serie A,33.0,5,0,0
Mateo Flores,es La Liga,20.0,153,0,0
Phil Foden,eng Premier League,24.0,1777,7,2
Malick Fofana,fr Ligue 1,19.0,1589,5,4
Rayan Fofana,fr Ligue 1,18.0,25,0,0
Seko Fofana,fr Ligue 1,29.0,844,1,1
Wesley Fofana,eng Premier League,23.0,1172,0,0
Yahia Fofana,fr Ligue 1,23.0,2970,0,0
Youssouf Fofana,it Serie A,25.0,2504,1,6
Jonas Föhrenbach,de Bundesliga,28.0,1832,0,1
Michael Folorunsho,it Serie A,26.0,650,0,0
Michael Folorunsho,it Serie A,26.0,35,0,0
Lamine Fomba,fr Ligue 1,26.0,217,0,0
Carlos Forbs,eng Premier League,20.0,239,0,0
Pablo Fornals,es La Liga,28.0,1827,2,0
Omari Forson,it Serie A,20.0,223,0,0
Fraser Forster,eng Premier League,36.0,630,0,0
Héctor Fort,es La Liga,17.0,585,0,0
Dimitri Foulquier,es La Liga,31.0,2299,0,1
Juan Foyth,es La Liga,26.0,1517,1,0
Fran,es La Liga,19.0,90,0,0
Matheus França,eng Premier League,20.0,55,1,0
Alejandro Francés,es La Liga,21.0,1173,0,0
Przemysław Frankowski,fr Ligue 1,29.0,1387,4,2
Enric Franquesa,es La Liga,27.0,616,1,0
Ryan Fraser,eng Premier League,30.0,306,0,0
Davide Frattesi,it Serie A,24.0,1158,5,1
Tyler Fredricson,eng Premier League,19.0,165,0,0
Morten Frendrup,it Serie A,23.0,3103,2,0
Martin Frese,it Serie A,26.0,549,0,0
Remo Freuler,it Serie A,32.0,3204,1,2
Marco Friedl,de Bundesliga,26.0,2161,0,0
Marvin Friedrich,de Bundesliga,28.0,989,0,1
Jeremie Frimpong,de Bundesliga,23.0,2314,5,5
Jorge de Frutos,es La Liga,27.0,2495,6,3
Darío Fuentes,es La Liga,21.0,5,0,0
Chris Führich,de Bundesliga,26.0,1981,2,3
Shiō Fukuda,de Bundesliga,20.0,60,1,0
Angelo Fulgini,fr Ligue 1,27.0,1045,1,1
Niclas Füllkrug,eng Premier League,31.0,790,3,2
Kyogo Furuhashi,fr Ligue 1,29.0,123,0,0
Manuel Fuster,es La Liga,26.0,1003,2,1
Matteo Gabbia,it Serie A,24.0,2152,2,0
Tommaso Gabellini,it Serie A,17.0,10,0,0
Tiago Gabriel,it Serie A,19.0,96,0,0
Alessandro Gabrielloni,it Serie A,30.0,142,1,1
Gianluca Gaetano,it Serie A,24.0,1009,2,4
Roberto Gagliardini,it Serie A,30.0,180,0,0
Cody Gakpo,eng Premier League,25.0,1935,10,4
Javi Galán,es La Liga,29.0,1784,0,3
Iñigo Ruiz de Galarreta,es La Liga,30.0,1477,0,4
Conor Gallagher,es La Liga,24.0,1633,3,3
Antonino Gallo,it Serie A,24.0,2609,0,2
Gauthier Gallon,fr Ligue 1,31.0,45,0,0
Cristian Gamboa,de Bundesliga,34.0,226,1,0
Idrissa Gana Gueye,eng Premier League,34.0,3063,0,3
Ignatius Ganago,fr Ligue 1,25.0,241,0,0
Silvère Ganvoula M'Boussy,it Serie A,28.0,326,0,0
Facundo Garcés,es La Liga,24.0,678,0,0
Aleix García,de Bundesliga,27.0,1455,3,4
Álvaro García,es La Liga,31.0,2559,4,5
Andrés García,eng Premier League,21.0,318,0,0
Eric García,es La Liga,23.0,1566,2,3
Fran Garcia,es La Liga,24.0,2171,0,2
Gonzalo García,es La Liga,20.0,56,0,1
Joan García,es La Liga,23.0,3420,0,0
Pablo Garcia,es La Liga,17.0,38,0,0
Rubén García,es La Liga,31.0,2413,5,5
Ulisses Garcia,fr Ligue 1,28.0,930,2,2
Unai García,es La Liga,32.0,65,0,0
Alejandro Garnacho,eng Premier League,20.0,2199,6,2
James Garner,eng Premier League,23.0,1594,0,1
Yarek Gasiorowski,es La Liga,19.0,947,0,0
Federico Gatti,it Serie A,26.0,2195,1,0
Gavi,es La Liga,19.0,1085,1,1
Paulo Gazzaniga,es La Liga,32.0,3195,0,0
Jean-Philippe Gbamin,fr Ligue 1,28.0,216,0,0
Mory Gbane,fr Ligue 1,23.0,1125,0,1
Yann Gboho,fr Ligue 1,23.0,2333,5,4
David de Gea,it Serie A,33.0,3060,0,1
Viggo Gebel,de Bundesliga,16.0,14,0,0
Lutsharel Geertruida,de Bundesliga,24.0,1557,1,0
Dennis Geiger,de Bundesliga,26.0,734,0,0
Valentin Gendrey,it Serie A,24.0,180,0,0
Valentin Gendrey,de Bundesliga,24.0,1414,1,1
Denis Genreau,fr Ligue 1,25.0,222,0,0
Tyrique George,eng Premier League,18.0,183,1,1
Yannick Gerhardt,de Bundesliga,30.0,1518,1,1
Max Geschwill,de Bundesliga,23.0,1282,1,2
Daniele Ghilardi,it Serie A,21.0,2029,0,0
Lautaro Gianetti,it Serie A,30.0,878,1,0
Dimitris Giannoulis,de Bundesliga,28.0,2650,1,4
Morgan Gibbs-White,eng Premier League,24.0,2803,7,8
Samuel Gigot,it Serie A,30.0,683,2,0
Armin Gigovic,de Bundesliga,22.0,1895,5,1
Bryan Gil,es La Liga,23.0,1721,3,3
Mario Gila,it Serie A,23.0,2741,1,0
Billy Gilmour,eng Premier League,23.0,98,0,0
Billy Gilmour,it Serie A,23.0,1177,0,1
Benedikt Gimber,de Bundesliga,27.0,2671,0,0
Santiago Giménez,it Serie A,23.0,669,5,2
Gvidas Gineitis,it Serie A,20.0,1430,3,1
Matthias Ginter,de Bundesliga,30.0,2561,2,1
Jamie Gittens,de Bundesliga,19.0,1776,8,3
Serge Gnabry,de Bundesliga,29.0,1242,7,5
Ben Godfrey,eng Premier League,26.0,159,0,0
Ben Godfrey,it Serie A,26.0,23,0,0
Martial Godo,eng Premier League,21.0,24,0,0
Saba Goglichidze,it Serie A,20.0,2539,0,1
Edoardo Goldaniga,it Serie A,30.0,2532,1,0
Michael Golding,eng Premier League,18.0,1,0,0
Pierluigi Gollini,it Serie A,29.0,630,0,0
Aleksandr Golovin,fr Ligue 1,28.0,1153,3,0
André Gomes,fr Ligue 1,31.0,1276,0,0
Angel Gomes,fr Ligue 1,23.0,736,1,1
João Gomes,eng Premier League,23.0,2974,3,1
Rodrigo Gomes,eng Premier League,21.0,810,2,0
Toti Gomes,eng Premier League,25.0,2614,0,1
Carlos Gómez,fr Ligue 1,21.0,381,3,0
Dani Gómez,es La Liga,26.0,532,2,0
Diego Gómez,eng Premier League,21.0,516,1,0
Joe Gomez,eng Premier League,27.0,519,0,0
Moi Gómez,es La Liga,30.0,796,0,0
Sergi Gómez,es La Liga,32.0,664,0,0
Sergio Gómez,es La Liga,23.0,2738,2,5
Unai Gómez,es La Liga,21.0,1284,1,3
Tidiam Gomis,de Bundesliga,17.0,152,0,1
Fabio González,es La Liga,27.0,53,0,0
Nicolás González,eng Premier League,22.0,760,1,0
Nicolás González,it Serie A,26.0,1750,3,2
Peter González,es La Liga,22.0,477,0,0
Urko González,es La Liga,23.0,1374,0,2
Urko González,es La Liga,23.0,45,0,0
Anthony Gordon,eng Premier League,23.0,2434,6,5
