name,league,age,minutes,goals,assists
Mathis Amougou,eng Premier League,18.0,8,0,0
Mathis Amougou,fr Ligue 1,18.0,859,0,0
Mohamed Amoura,de Bundesliga,24.0,2467,10,9
Sofyan Amrabat,it Serie A,27.0,180,0,0
Joachim Andersen,eng Premier League,28.0,90,0,0
Joachim Andersen,eng Premier League,28.0,2583,0,0
Elliot Anderson,eng Premier League,21.0,2728,2,6
André,eng Premier League,23.0,2472,0,0
Benjamin André,fr Ligue 1,33.0,2692,0,3
Marcos André,es La Liga,27.0,1188,1,2
Robert Andrich,de Bundesliga,29.0,1598,2,2
Angeliño,it Serie A,27.0,3177,2,1
Lorenzo Anghelè,it Serie A,19.0,6,0,0
Faustino Anjorin,it Serie A,22.0,1114,2,3
Waldemar Anton,de Bundesliga,28.0,1949,2,2
Leandro Antonetti,es La Liga,21.0,28,0,0
Kyllian Antonio,fr Ligue 1,16.0,139,0,0
Michail Antonio,eng Premier League,34.0,836,1,1
Antoniu,es La Liga,21.0,1022,0,1
Antony,eng Premier League,24.0,141,0,0
Antony,es La Liga,24.0,1362,5,2
Anuar,es La Liga,29.0,1720,2,0
Dennis Appiah,fr Ligue 1,32.0,2128,0,1
Aritz Arambarri,es La Liga,26.0,177,0,0
Mauro Arambarri,es La Liga,28.0,2661,10,0
Jon Aramburu,es La Liga,22.0,2460,1,1
Julian Araujo,eng Premier League,22.0,497,0,0
Ronald Araújo,es La Liga,25.0,754,1,1
Cameron Archer,eng Premier League,23.0,1441,2,0
Carlens Arcus,fr Ligue 1,28.0,2047,0,1
Alphonse Areola,eng Premier League,31.0,2260,0,0
Adu Ares,es La Liga,22.0,19,0,0
Jesús Areso,es La Liga,25.0,3079,0,3
David Argüelles,es La Liga,22.0,7,0,0
Joe Aribo,eng Premier League,28.0,2013,3,0
Adam Armstrong,eng Premier League,27.0,1248,2,2
Harrison Armstrong,eng Premier League,17.0,48,0,0
José Arnaiz,es La Liga,29.0,133,0,0
Hákon Arnar Haraldsson,fr Ligue 1,21.0,1755,5,3
Marko Arnautović,it Serie A,35.0,527,4,2
Maximilian Arnold,de Bundesliga,30.0,2356,3,5
Jann-Fiete Arp,de Bundesliga,24.0,713,2,0
Sergio Arribas,es La Liga,21.0,90,0,0
Kepa Arrizabalaga,eng Premier League,29.0,2790,0,0
Arthur,de Bundesliga,21.0,752,0,1
Takuma Asano,es La Liga,29.0,1054,2,1
Raúl Asencio,es La Liga,21.0,1670,0,1
Marco Asensio,eng Premier League,28.0,743,3,1
Marco Asensio,fr Ligue 1,28.0,618,2,4
Kristjan Asllani,it Serie A,22.0,980,2,2
Iago Aspas,es La Liga,36.0,1745,10,5
Yaser Asprilla,es La Liga,20.0,1405,3,1
Lorenz Assignon,fr Ligue 1,24.0,2357,3,4
Dehmaine Assoumani,fr Ligue 1,19.0,98,0,0
Valentin Atangana Edoa,fr Ligue 1,18.0,2854,1,0
Arthur Atta,it Serie A,21.0,1251,0,1
Noah Atubolu,de Bundesliga,22.0,2307,0,0
Emil Audero,it Serie A,27.0,720,0,0
Tommaso Augello,it Serie A,29.0,2713,0,7
Carlos Augusto,it Serie A,25.0,1625,3,2
Yann Aurel Bisseck,it Serie A,23.0,1553,3,2
Brandon Austin,eng Premier League,25.0,90,0,0
Ezequiel Ávila,es La Liga,30.0,677,2,0
Taiwo Awoniyi,eng Premier League,26.0,416,1,0
Yasin Ayari,eng Premier League,20.0,1965,2,1
Florian Ayé,fr Ligue 1,27.0,575,2,0
André Ayew,fr Ligue 1,34.0,1453,4,1
Jordan Ayew,eng Premier League,32.0,21,0,0
Jordan Ayew,eng Premier League,32.0,1638,5,0
Neil El Aynaoui,fr Ligue 1,23.0,1588,8,1
Ayman Azhil,de Bundesliga,23.0,24,0,0
Adam Aznou,es La Liga,18.0,876,0,0
Adam Aznou,de Bundesliga,18.0,17,0,0
César Azpilicueta,es La Liga,34.0,875,1,0
Paulo Azzi,it Serie A,30.0,426,0,0
Oussama El Azzouzi,it Serie A,23.0,19,0,0
Papa Ba,es La Liga,19.0,48,0,0
Shavy Babicka,fr Ligue 1,24.0,1186,4,2
Jacopo Bacci,it Serie A,19.0,31,0,0
Aliou Badara Baldé,de Bundesliga,21.0,91,0,0
Loïc Bade,es La Liga,24.0,2686,1,1
Milan Badelj,it Serie A,35.0,1472,1,0
Benoît Badiashile,eng Premier League,23.0,334,0,0
Alex Baena,es La Liga,23.0,2595,7,9
Juma Bah,es La Liga,18.0,864,0,0
Juma Bah,fr Ligue 1,18.0,686,0,0
Leon Bailey,eng Premier League,26.0,1139,1,2
Eric Bailly,es La Liga,30.0,617,0,0
Theo Bair,fr Ligue 1,24.0,939,2,1
Stefan Bajcetic,es La Liga,19.0,969,1,0
Cédric Bakambu,es La Liga,33.0,710,2,2
Mitchel Bakker,it Serie A,24.0,22,0,0
Mitchel Bakker,fr Ligue 1,24.0,1139,3,2
Darryl Bakola,fr Ligue 1,16.0,14,0,0
Ridle Baku,de Bundesliga,26.0,1170,2,1
Ridle Baku,de Bundesliga,26.0,1275,2,3
Dilane Bakwa,fr Ligue 1,21.0,2497,6,8
Tommaso Baldanzi,it Serie A,21.0,832,1,1
Alejandro Balde,es La Liga,20.0,2284,0,4
Keita Baldé,it Serie A,29.0,638,2,0
Carlos Baleba,eng Premier League,20.0,2661,3,1
Leonardo Balerdi,fr Ligue 1,25.0,2273,0,0
Iván Balliu,es La Liga,32.0,1200,0,0
Fodé Ballo-Touré,fr Ligue 1,27.0,589,0,0
Botond Balogh,it Serie A,22.0,2053,0,1
Folarin Balogun,fr Ligue 1,23.0,615,4,0
Mario Balotelli,it Serie A,33.0,62,0,0
Abdoulaye Bamba,fr Ligue 1,34.0,1510,0,0
Jonathan Bamba,es La Liga,28.0,811,0,1
Mohamed Bamba,fr Ligue 1,19.0,10,0,0
Samuel Bamba,de Bundesliga,20.0,27,0,0
Lameck Banda,it Serie A,23.0,610,0,1
Daniel Bandeira,it Serie A,24.0,407,0,0
Mattia Bani,it Serie A,30.0,1507,0,0
Noahkai Banks,de Bundesliga,17.0,278,0,0
Scott Banks,de Bundesliga,22.0,116,0,0
Adrian Baquerin,es La Liga,17.0,49,0,0
Antonín Barák,it Serie A,29.0,54,0,0
Federico Barba,it Serie A,30.0,431,0,0
Valentín Barco,es La Liga,20.0,288,0,0
Valentín Barco,fr Ligue 1,20.0,1157,0,2
Bradley Barcola,fr Ligue 1,21.0,2181,14,10
Melvin Bard,fr Ligue 1,23.0,1938,2,1
Nicolò Barella,it Serie A,27.0,2456,3,6
Gabriel Bares,fr Ligue 1,23.0,56,0,0
Borna Barišić,es La Liga,31.0,9,0,0
