Player,Comp,Age,Min,Gls,Ast,dribbles_successful,key_passes,duels_won,duels_total
Jim Allevinah,fr Ligue 1,29.0,1750,1,3,0,0,0,1
Dele Alli,it Serie A,28.0,9,0,0,0,0,0,1
Thiago Almada,fr Ligue 1,23.0,951,1,4,0,0,0,1
Domingos André Ribeiro Almeida,es La Liga,24.0,1977,0,4,0,0,0,1
Iker Almena,es La Liga,20.0,48,0,1,0,0,0,1
Miguel Almirón,eng Premier League,30.0,157,0,0,0,0,0,1
Pontus Almqvist,it Serie A,25.0,1112,1,1,0,0,0,1
Marcos Alonso,es La Liga,33.0,2647,3,0,0,0,0,1
Giorgio Altare,it Serie A,25.0,753,0,0,0,0,0,1
Adrià Altimira,es La Liga,23.0,1630,0,0,0,0,0,1
Sergi Altimira,es La Liga,22.0,1972,0,1,0,0,0,1
Olabade Aluko,eng Premier League,,2,0,0,0,0,0,1
Edson Álvarez,eng Premier League,26.0,1772,0,1,0,0,0,1
Hugo Álvarez,es La Liga,21.0,1572,4,3,0,0,0,1
Julián Álvarez,es La Liga,24.0,2509,17,4,0,0,0,1
Yeray Álvarez,es La Liga,29.0,1781,1,0,0,0,0,1
Skelly Alvero,de Bundesliga,22.0,236,0,0,0,0,0,1
Will Alves,eng Premier League,19.0,1,0,0,0,0,0,1
Selim Amallah,es La Liga,27.0,1376,3,1,0,0,0,1
Harry Amass,eng Premier League,17.0,346,0,0,0,0,0,1
Amath,es La Liga,28.0,375,0,1,0,0,0,1
Jordan Amavi,fr Ligue 1,30.0,790,0,0,0,0,0,1
Aurele Amenda,de Bundesliga,21.0,96,0,0,0,0,0,1
Kelvin Amian,fr Ligue 1,26.0,2165,1,0,0,0,0,1
Michael Amir Murillo,fr Ligue 1,28.0,2437,1,3,0,0,0,1
Nadiem Amiri,de Bundesliga,27.0,2473,7,5,0,0,0,1
Samuel Amo-Ameyaw,eng Premier League,18.0,28,0,0,0,0,0,1
Samuel Amo-Ameyaw,fr Ligue 1,18.0,320,2,0,0,0,0,1
Mathis Amougou,eng Premier League,18.0,8,0,0,0,0,0,1
Mathis Amougou,fr Ligue 1,18.0,859,0,0,0,0,0,1
Mohamed Amoura,de Bundesliga,24.0,2467,10,9,0,0,0,1
Sofyan Amrabat,it Serie A,27.0,180,0,0,0,0,0,1
Joachim Andersen,eng Premier League,28.0,90,0,0,0,0,0,1
Joachim Andersen,eng Premier League,28.0,2583,0,0,0,0,0,1
Elliot Anderson,eng Premier League,21.0,2728,2,6,0,0,0,1
André,eng Premier League,23.0,2472,0,0,0,0,0,1
Benjamin André,fr Ligue 1,33.0,2692,0,3,0,0,0,1
Marcos André,es La Liga,27.0,1188,1,2,0,0,0,1
Robert Andrich,de Bundesliga,29.0,1598,2,2,0,0,0,1
Angeliño,it Serie A,27.0,3177,2,1,0,0,0,1
Lorenzo Anghelè,it Serie A,19.0,6,0,0,0,0,0,1
Faustino Anjorin,it Serie A,22.0,1114,2,3,0,0,0,1
Waldemar Anton,de Bundesliga,28.0,1949,2,2,0,0,0,1
Leandro Antonetti,es La Liga,21.0,28,0,0,0,0,0,1
Kyllian Antonio,fr Ligue 1,16.0,139,0,0,0,0,0,1
Michail Antonio,eng Premier League,34.0,836,1,1,0,0,0,1
Antoniu,es La Liga,21.0,1022,0,1,0,0,0,1
Antony,eng Premier League,24.0,141,0,0,0,0,0,1
Antony,es La Liga,24.0,1362,5,2,0,0,0,1
Anuar,es La Liga,29.0,1720,2,0,0,0,0,1
Dennis Appiah,fr Ligue 1,32.0,2128,0,1,0,0,0,1
Aritz Arambarri,es La Liga,26.0,177,0,0,0,0,0,1
Mauro Arambarri,es La Liga,28.0,2661,10,0,0,0,0,1
Jon Aramburu,es La Liga,22.0,2460,1,1,0,0,0,1
Julian Araujo,eng Premier League,22.0,497,0,0,0,0,0,1
Ronald Araújo,es La Liga,25.0,754,1,1,0,0,0,1
Cameron Archer,eng Premier League,23.0,1441,2,0,0,0,0,1
Carlens Arcus,fr Ligue 1,28.0,2047,0,1,0,0,0,1
Alphonse Areola,eng Premier League,31.0,2260,0,0,0,0,0,1
Adu Ares,es La Liga,22.0,19,0,0,0,0,0,1
Jesús Areso,es La Liga,25.0,3079,0,3,0,0,0,1
David Argüelles,es La Liga,22.0,7,0,0,0,0,0,1
Joe Aribo,eng Premier League,28.0,2013,3,0,0,0,0,1
Adam Armstrong,eng Premier League,27.0,1248,2,2,0,0,0,1
Harrison Armstrong,eng Premier League,17.0,48,0,0,0,0,0,1
